data,mandante,estado_mandante,visitante,estado_visitante,gols_mandante,gols_visitante,temporada,rodada,resultado_mandante
2018-04-30 20:00:00,America-MG,MG,Vitoria-BA,BA,2,1,2018,3,V
2018-09-27 20:00:00,Santos-SP,SP,Vasco da Gama-RJ,RJ,1,1,2018,3,E
2018-05-05 19:00:00,Vasco da Gama-RJ,RJ,America-MG,MG,4,1,2018,4,V
2018-05-05 19:00:00,Sao Paulo-SP,SP,Atletico-MG,MG,2,2,2018,4,E
2018-05-06 11:00:00,Corinthians-SP,SP,Ceara-CE,CE,1,1,2018,4,E
2018-05-06 16:00:00,Flamengo-RJ,RJ,Internacional-RS,RS,2,0,2018,4,V
2018-05-06 16:00:00,Vitoria-BA,BA,Fluminense-RJ,RJ,1,2,2018,4,D
2018-05-06 16:00:00,Atletico-PR,PR,Palmeiras-SP,SP,1,3,2018,4,D
2018-05-06 16:00:00,Cruzeiro-MG,MG,Botafogo-RJ,RJ,1,0,2018,4,V
2018-05-06 19:00:00,Sport-PE,PE,Bahia-BA,BA,2,0,2018,4,V
2018-05-06 19:00:00,Gremio-RS,RS,Santos-SP,SP,5,1,2018,4,V
2018-05-07 20:00:00,Chapecoense-SC,SC,Parana-PR,PR,1,1,2018,4,E
2018-05-12 16:00:00,Gremio-RS,RS,Internacional-RS,RS,0,0,2018,5,E
2018-05-13 11:00:00,Cruzeiro-MG,MG,Sport-PE,PE,2,0,2018,5,V
2018-05-13 16:00:00,Atletico-PR,PR,Atletico-MG,MG,1,2,2018,5,D
2018-05-13 16:00:00,Chapecoense-SC,SC,Flamengo-RJ,RJ,3,2,2018,5,V
2018-05-13 16:00:00,Bahia-BA,BA,Sao Paulo-SP,SP,2,2,2018,5,E
2018-05-13 16:00:00,Vasco da Gama-RJ,RJ,Vitoria-BA,BA,2,3,2018,5,D
2018-05-13 16:00:00,Corinthians-SP,SP,Palmeiras-SP,SP,1,0,2018,5,V
2018-05-13 19:00:00,Santos-SP,SP,Parana-PR,PR,3,1,2018,5,V
2018-05-14 20:00:00,Ceara-CE,CE,America-MG,MG,2,2,2018,5,E
2018-05-14 20:00:00,Botafogo-RJ,RJ,Fluminense-RJ,RJ,2,1,2018,5,V
2018-05-19 16:00:00,Atletico-MG,MG,Cruzeiro-MG,MG,1,0,2018,6,V
2018-05-19 19:00:00,Flamengo-RJ,RJ,Vasco da Gama-RJ,RJ,1,1,2018,6,E
2018-05-19 21:00:00,Palmeiras-SP,SP,Bahia-BA,BA,3,0,2018,6,V
2018-05-20 11:00:00,Vitoria-BA,BA,Ceara-CE,CE,2,1,2018,6,V
2018-05-20 16:00:00,Parana-PR,PR,Gremio-RS,RS,0,0,2018,6,E
2018-05-20 16:00:00,America-MG,MG,Botafogo-RJ,RJ,1,0,2018,6,V
